City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
122,alakurtti,20,RU,1552381629,80,66.96,30.34,12.99,4.72
123,la romana,20,DO,1552377600,83,18.43,-68.97,73.4,4.7
124,wyoming,1,US,1552382169,92,42.91,-85.71,27.0,3.36
125,san quintin,0,PH,1552382192,57,17.54,120.52,81.59,4.38
126,ajdabiya,92,LY,1552382192,34,30.75,20.22,70.47,5.17
127,provideniya,0,RU,1552382192,100,64.42,-173.23,2.79,18.92
128,hilo,90,US,1552381946,93,19.71,-155.08,71.01,5.82
129,antalaha,44,MG,1552382193,97,-14.9,50.28,81.99,2.71
130,isangel,48,VU,1552382193,100,-19.55,169.27,80.69,13.44
131,lincoln,90,GB,1552381923,93,53.23,-0.54,52.0,25.28
132,lavrentiya,12,RU,1552382193,100,65.58,-170.99,0.45,31.79
133,zhigansk,64,RU,1552382194,68,66.77,123.37,7.34,9.19
134,avarua,92,CK,1552379400,94,-21.21,-159.78,75.2,9.17
135,tarko-sale,24,RU,1552382194,95,64.92,77.78,21.11,4.61
136,bushehr,0,IR,1552379400,52,28.97,50.84,68.0,6.93
137,gourdon,0,FR,1552382183,81,44.74,1.38,51.01,4.7
138,visnes,75,NO,1552382156,86,59.36,5.22,39.99,29.97
139,khani,0,GE,1552379400,30,41.96,42.96,68.0,21.92
140,norman wells,75,CA,1552377600,78,65.28,-126.83,15.8,16.11
141,sioux lookout,5,CA,1552377600,78,50.1,-91.92,17.6,6.93
142,lasa,20,CY,1552382153,72,34.92,32.53,68.0,11.41
143,hambantota,20,LK,1552382195,91,6.12,81.12,85.01,11.65
144,vila franca do campo,75,PT,1552382193,87,37.72,-25.43,57.2,17.22
145,buala,0,SB,1552382196,87,-8.15,159.59,83.21,7.63
146,airai,76,TL,1552382196,75,-8.93,125.41,77.09,2.15
147,georgetown,12,GY,1552382078,85,6.8,-58.16,74.66,5.39
148,navrongo,0,GH,1552382197,12,10.89,-1.09,88.74,15.23
149,new ulm,1,US,1552382187,79,44.31,-94.46,25.0,10.29
150,flinders,75,AU,1552382064,73,-34.58,150.85,77.0,14.99
151,marawi,48,PH,1552382140,79,8.0,124.29,81.0,2.37
152,shurugwi,0,ZW,1552382197,50,-19.67,30.0,80.01,10.09
153,tuatapere,0,NZ,1552381807,92,-46.13,167.69,59.0,4.0
154,seoul,1,KR,1552380600,26,37.57,126.98,42.8,2.24
155,port alfred,0,ZA,1552382018,83,-33.59,26.89,84.0,3.0
156,ankang,12,CN,1552382198,43,32.73,108.99,60.3,2.04
157,san patricio,68,PY,1552382198,94,-26.98,-56.83,70.83,2.04
158,ust-nera,24,RU,1552382198,58,64.57,143.24,-14.67,2.15
159,charters towers,20,AU,1552382199,50,-20.07,146.27,85.01,9.19
160,north platte,90,US,1552381899,93,41.12,-100.77,39.2,6.93
161,bodaybo,68,RU,1552382199,61,57.85,114.2,22.23,4.05
162,karoi,20,ZW,1552382199,54,-16.82,29.68,81.18,7.96
163,lebu,0,ET,1552382199,24,8.96,38.73,78.08,8.19
164,ulladulla,75,AU,1552382143,73,-35.36,150.48,71.6,14.99
165,tasiilaq,80,GL,1552380600,79,65.61,-37.64,19.4,3.36
166,chimichagua,0,CO,1552382200,78,9.26,-73.81,78.71,2.59
167,cidreira,56,BR,1552382200,96,-30.17,-50.22,68.4,8.19
168,atbasar,32,KZ,1552382200,92,51.81,68.36,34.16,11.21
169,constitucion,68,MX,1552382200,62,23.99,-104.67,52.34,3.04
170,karratha,80,AU,1552382102,28,-20.74,116.85,98.37,10.2
171,geraldton,40,CA,1552377600,76,49.72,-86.95,-4.01,3.36
172,honavar,48,IN,1552382201,72,14.28,74.45,84.74,6.73
173,thompson,5,CA,1552377600,85,55.74,-97.86,12.2,3.36
174,vincennes,1,US,1552381914,68,38.68,-87.53,35.01,6.93
175,sola,90,FI,1552379280,85,62.78,29.36,21.2,13.87
176,shingu,20,JP,1552377600,44,33.72,135.99,59.0,11.41
177,areka,8,ET,1552382202,33,7.07,37.71,81.99,2.71
178,pasighat,76,IN,1552382202,74,28.06,95.33,63.86,0.58
179,dikson,64,RU,1552382202,90,73.51,80.55,5.67,14.45
180,rio gallegos,0,AR,1552377600,86,-51.62,-69.22,37.4,9.17
181,sitka,92,US,1552382149,97,37.17,-99.65,46.0,7.0
182,avera,1,US,1552382129,100,33.19,-82.53,53.6,5.5
183,arlit,0,NE,1552382203,46,18.74,7.39,73.13,7.85
184,ponta do sol,12,BR,1552382203,87,-20.63,-46.0,62.55,4.38
185,jiuquan,8,CN,1552382203,72,39.73,98.49,34.34,2.93
186,bosaso,0,SO,1552377600,69,11.28,49.18,82.4,13.87
187,khatanga,68,RU,1552382204,88,71.98,102.47,8.01,3.71
188,kavieng,64,PG,1552382204,100,-2.57,150.8,82.71,10.76
189,tautira,75,PF,1552381983,88,-17.73,-149.15,75.2,1.12
190,laguna,44,MX,1552382204,65,27.52,-110.01,62.51,4.16
191,whitehorse,20,CA,1552382106,67,60.72,-135.06,23.0,10.29
192,san pedro,92,AR,1552381693,95,-33.68,-59.66,61.0,1.99
193,baiyin,0,CN,1552377600,13,36.55,104.13,51.8,6.71
194,orlik,80,RU,1552382207,68,52.51,99.83,18.99,3.94
195,goderich,68,CA,1552382188,80,43.74,-81.71,28.99,5.17
196,bilma,0,NE,1552382207,14,18.69,12.92,83.79,10.31
197,blind river,1,CA,1552379760,85,46.19,-82.96,14.0,7.18
198,podgornoye,92,RU,1552382208,86,57.79,82.64,32.94,7.96
199,mar del plata,0,AR,1552382208,100,-46.43,-67.52,47.61,7.07
200,harper,90,US,1552382196,93,30.3,-99.24,60.01,5.82
201,tuktoyaktuk,76,CA,1552382208,100,69.44,-133.03,-1.17,17.47
202,gornopravdinsk,88,RU,1552382209,82,60.06,69.92,38.7,8.97
203,toyooka,75,JP,1552377600,100,35.55,134.82,51.8,4.7
204,severo-kurilsk,76,RU,1552382210,100,50.68,156.12,27.59,26.87
205,ribeira grande,75,PT,1552379400,76,38.52,-28.7,55.4,17.22
206,karaton,40,ID,1552381989,74,-6.34,106.1,82.4,6.93
207,constantine,75,DZ,1552379400,81,36.36,6.61,46.4,2.24
208,bathsheba,90,BB,1552377600,88,13.22,-59.52,71.6,16.11
209,esperance,20,TT,1552381276,94,10.24,-61.45,72.0,5.17
210,clyde river,90,CA,1552381200,75,70.47,-68.59,-18.41,2.37
211,pangnirtung,20,CA,1552382212,61,66.15,-65.72,-21.38,3.83
212,chuy,88,UY,1552382212,92,-33.69,-53.46,68.31,10.54
213,saint george,75,GR,1552382003,63,39.45,22.34,61.0,6.93
214,natal,40,BR,1552377600,83,-5.81,-35.21,78.8,5.82
215,greensboro,1,US,1552382103,56,36.07,-79.79,46.4,8.75
216,ulaangom,32,MN,1552382213,75,49.98,92.07,27.41,2.82
217,batagay-alyta,0,RU,1552382090,54,67.8,130.41,-12.69,2.82
218,chaman,8,AF,1552382214,92,30.92,66.46,49.73,4.61
219,castelo branco,0,PT,1552382214,86,39.82,-7.5,52.61,3.38
220,pyapon,0,MM,1552382214,43,16.29,95.68,95.04,1.92
221,malindi,0,KE,1552381980,77,-3.22,40.12,85.46,8.63
222,pacific grove,40,US,1552382190,76,36.62,-121.92,52.0,4.7
223,namalenga,36,TZ,1552382214,92,-10.95,39.1,82.13,3.71
